app_id,title,release_date,developer,publisher,genres,positive_ratings,negative_ratings,price
600990,The Gardens Between,2018-09-19,The Voxel Agents,The Voxel Agents,Adventure;Indie,252,17,15.49
554280,Time Carnage VR,2018-04-10,Wales Interactive,Wales Interactive,Violent;Action;Indie,40,10,14.99
635670,EMPORIUM,2017-05-17,Tom Kitchen,Tom Kitchen,Gore;Adventure;Casual;Indie,79,32,1.59
1019150,Apolune,2019-02-06,Lost Astronaut Studios,Lost Astronaut Studios,Action;Casual;Indie,1,0,5.19
246920,Bombernauts,2017-12-29,Eyebrow Interactive,Eyebrow Interactive,Action;Indie,113,10,6.99
790600,Stormbound,2018-05-15,Paladin Studios,Kongregate,Free to Play;Strategy,263,127,0.0
880830,Cavesweeper,2018-07-04,Stylus Software,Stylus Software,Adventure;Casual;Indie;Strategy,14,0,1.99
527250,VilleTown,2016-09-23,Laugical Games,Laugical Games,Indie;Simulation;Strategy,13,2,3.99
528770,Twixel,2016-11-18,Caesoose Studios,Self Published,Action,13,2,1.69
981550,GACHIMUCHI M♂NLY PUZZLE,2018-12-13,M♂NLY,M♂NLY,Casual;Indie;Simulation;Strategy,39,5,0.9
896160,Evil Bank Manager,2018-12-07,Hamsters Gaming,Hamsters Gaming,Indie;Simulation;Strategy,493,139,9.29
759530,Struckd - 3D Game Creator,2018-02-02,Struckd AG,Struckd AG,Action;Adventure;Casual;Racing;RPG;Early Access,132,79,0.0
873850,PASSAGE,2018-11-14,Magic Time Software,Magic Time Software,Action;Adventure;Indie,1,3,4.79
258590,Adventure Time: Finn and Jake's Epic Quest,2014-04-11,NGD Studios,Cartoon Network Games,Action;Adventure,318,107,6.99
890920,Glitch,2018-07-18,Ekrcoaster,Ekrcoaster,Adventure;Casual;Free to Play;Indie;Strategy,152,150,0.0
653770,The First Time I Died,2017-07-05,Ryan Stephen,Ryan Stephen,Adventure;Indie;RPG,2,0,1.59
550650,Black Squad,2017-07-28,NS STUDIO,NS STUDIO,Action;Free to Play;Early Access,33695,11081,0.0
464340,Syberia 3,2017-11-13,Microids,Microids,Adventure,800,822,23.79
329630,Command HQ,2014-11-06,Ozark Softscape,Retroism;Nightdive Studios,Strategy,32,1,4.99
386390,Dad Beat Dads,2015-10-19,Stellar Jay Studios,Stellar Jay Studios,Action,6,0,4.79
303290,OZMAFIA!!,2016-04-29,Poni-Pachet SY,MangaGamer,Adventure,295,40,26.99
443940,Unknown Battle,2016-03-14,Nikolai Patrakov,RenPen,Action;Adventure;Indie,186,429,2.79
895650,Save The Cookie,2018-10-30,Chota Games Studio,Chota Games Studio,Action;Casual;Indie,6,1,0.79
921060,Modern Combat 5,2018-10-24,Gameloft,Gameloft,Action;Free to Play;Massively Multiplayer,589,774,0.0
290300,Rebel Galaxy,2015-10-20,Double Damage Games,Double Damage Games,Action;Adventure;Indie;RPG;Simulation,5100,881,14.99
507030,Bicyclism EP,2016-11-14,Acid Cat,Acid Cat,Action;Indie;Racing;Simulation;Sports,13,6,5.79
12770,Rise of the Argonauts,2009-01-07,Liquid Entertainment,Codemasters,RPG,365,178,4.99
294810,BlazBlue: Continuum Shift Extend,2014-12-11,Arc System Works,"H2 Interactive Co., Ltd.",Action,998,88,14.99
591470,Dark Realm: Queen of Flames Collector's Edition,2017-02-21,Mad Head Games,Big Fish Games,Adventure;Casual,1,0,6.99
837530,Dark Ghost RPG,2018-04-17,"Nikita ""Ghost_RUS""",Ghost_RUS Games,Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation,4,7,4.79
348980,INIT.,2015-08-19,Narrow Monolith,Narrow Monolith,Action;Adventure;Casual;Indie;Strategy,3,13,1.59
740320,Djilyaro,2017-11-24,HoneyBeeSoftware,HoneyBeeSoftware,Indie,6,6,0.79
463530,Empires of the Undergrowth,2017-12-01,Slug Disco Studios,Slug Disco Studios,Indie;Simulation;Strategy;Early Access,1117,107,15.99
676480,Jettomero: Hero of the Universe,2017-09-15,Ghost Time Games,Ghost Time Games,Indie,69,13,9.99
965450,OnSpace,2018-10-31,stariy8419,stariy8419,Action;Casual;Indie,4,2,0.79
456920,Gary the Gull,2016-11-22,Motional Entertainment;Limitless Ltd,Limitless Ltd,Adventure,13,17,0.0
848350,Katamari Damacy REROLL,2018-12-06,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment,Action;Casual,559,58,15.99
494090,Dungeon Girl,2018-07-30,Inu to Neko,Fruitbat Factory,Casual,15,13,8.99
259640,Guise Of The Wolf,2014-01-24,FUN Creators,FUN Creators,Action;Adventure;Indie,66,133,1.99
724120,Rise:30 Minutes to Extinction,2018-09-18,Antarctic Games,Antarctic Games,Action;Casual;Indie,7,0,7.19
978790,Frantic Dimension,2018-12-28,Hijong Park,PsychoFlux Entertainment,Action;Free to Play;Indie,18,1,0.0
974010,Zero spring episode 2,2018-11-29,Sonic-Alpha,NS,Adventure;Indie;RPG,1,1,0.0
427860,The Next World,2016-03-07,Illuminated Games,AAD Productions,Adventure;Casual;Indie,62,25,9.99
702320,March of Empires,2017-12-11,Gameloft,Gameloft,Free to Play;Massively Multiplayer;RPG;Strategy,163,135,0.0
370140,Nebulous,2016-08-29,Namazu Studios,Namazu Studios,Casual;Indie,3,3,10.99
769590,Play Cube with Uncle Billy,2018-02-23,bones;Uwen Peng,bones,Nudity;Casual;Indie;Strategy,9,5,0.79
644640,Band of Defenders,2018-04-05,Alda Games,Alda Games,Violent;Gore;Action,163,139,10.99
811520,Infinite Fall,2018-12-20,Dexion Games,Dexion Games,Casual;Indie;Strategy,10,7,0.79
449000,Steno Arcade,2016-03-30,For All To Play,For All To Play,Casual;Free to Play;Indie;Early Access,126,42,0.0
532120,Header Goal VR: Being Axel Rix,2017-08-16,Codemodeon,Codemodeon,Action;Indie;Simulation;Sports,15,2,3.99
996550,"持猫少女凯蒂/Kaidi, armed with a cat",2019-01-13,49肆酒,49肆酒,Adventure;Casual;Indie,18,0,0.79
862390,FlyInside Flight Simulator,2018-12-20,FlyInside Inc.,FlyInside Inc.,Indie;Simulation;Early Access,48,14,27.79
7660,X-COM: Apocalypse,2008-09-04,"MicroProse Software, Inc",2K,Strategy,417,53,2.99
494040,PuppetsVR,2017-09-27,Expo Virtualis,Expo Virtualis,Casual;Indie;Simulation;Early Access,5,1,3.99
856190,Metori,2019-04-03,Enemby Games,Enemby Games,Action;Indie;Strategy,1,0,3.99
513720,Archipelago,2016-08-17,Dima Kiva,Dima Kiva,Strategy,28,15,0.79
429480,Vision Runner,2016-10-19,Snowbit Interactive,Snowbit Interactive,Indie;Early Access,3,3,7.19
1004570,blocks,2019-01-25,BlueRichter,BlueRichter,Casual;Indie;Strategy,0,1,3.99
