id,developer
1000241,Midway Manufacturing
1000242,Exidy
1000242,Taito
1000243,General Instrument Microelectronic
1000244,Midway Manufacturing
1000244,Arcade Engineering
1000245,Exidy
1000246,Fairchild Semiconductor
1000247,Exidy
1000248,General Instrument Microelectronic
1000249,"Sega Enterprises, Ltd."
1000250,Midway Manufacturing
1000251,Atari
1000252,General Instrument Microelectronic
1000253,"Talleres Radioelectricos Querol, SL"
1000253,Atari
1000254,Fairchild Semiconductor
1000256,Exidy
1000257,General Instrument Microelectronic
1000258,Atari
1000259,Project Support Engineering
1000261,Midway Manufacturing
1000262,Atari
1000263,General Instrument Microelectronic
1000264,Namco
1000264,Bandai Namco Games
1000265,"Sega Enterprises, Ltd."
1000266,Dave Nutting Associates
1000266,Midway Manufacturing
1000267,General Instrument Microelectronic
1000268,General Instrument Microelectronic
1000269,Midway Manufacturing
1000269,Arcade Engineering
1000270,Midway Manufacturing
1000270,Dave Nutting Associates
1000271,Philips
1000272,Atari
1000273,Taito
1000274,Atari
1000275,Magnavox
1000276,Atari
1000277,Taito
1000278,Magnavox
1000279,Magnavox
1000281,Midway Manufacturing
1000281,Taito
1000282,Leijac
1000282,Konami
1000283,Fairchild Semiconductor
1000284,Fairchild Semiconductor
1000285,Infocom
1000286,Fairchild Semiconductor
1000287,Fairchild Semiconductor
1000288,Fairchild Semiconductor
1000289,Fairchild Semiconductor
1000290,Fairchild Semiconductor
1000291,Fairchild Semiconductor
1000292,Atari
1000293,Bally Manufacturing
1000293,Dave Nutting Associates
1000294,Bally Manufacturing
1000294,Dave Nutting Associates
1000295,Atari
1000296,"Astrocade, Inc."
1000296,Dave Nutting Associates
1000297,Nintendo
1000298,Meadows Games
1000299,Taito
1000300,Sharp
1000300,Taito Corporation
1000301,"Sega Enterprises, Ltd."
1000302,Gremlin Industries
1000303,Meadows Games
1000304,Midway Manufacturing
1000304,Dave Nutting Associates
1000305,Sears
1000305,Dave Nutting Associates
1000306,Atari
1000307,Atari
1000308,Dave Nutting Associates
1000308,Midway Manufacturing
1000309,"Sega Enterprises, Ltd."
1000310,"Sega Enterprises, Ltd."
1000310,Sega
1000311,Atari Corporation
1000311,"Atari, Inc."
1000312,The Software Factory
1000313,Atari
1000314,Namco
1000314,Gremlin Industries
1000315,Taito
1000316,Sega
1000316,Gremlin Industries
1000318,"Synergistic Software, Inc."
1000319,"Commodore Business Machines, Inc."
1000319,Adventure International
1000320,"Atari, Inc."
1000321,Mattel Electronics
1000322,Bally Manufacturing
1000322,Dave Nutting Associates
1000323,"Commodore Business Machines, Inc."
1000323,Dave Nutting Associates
1000325,The Elektrik Keyboard Ltd.
1000326,Atari Inc.
1000327,Atari
1000327,"Atari, Inc."
1000328,Nuvatec
1000329,Acetronic
1000329,Philips Semiconductors
1000332,Magnavox
1000333,Meadows Games
1000334,Atari
1000334,"Atari, Inc."
1000335,Atari
1000335,"Atari, Inc."
1000336,Magnavox
1000337,Atari
1000337,Polyvox
1000338,Bally Manufacturing
1000338,Dave Nutting Associates
1000339,M.E.M.
1000340,Atari
1000340,"Atari, Inc."
1000342,Atari
1000343,Taito
1000343,Arcade Engineering
1000344,Midway Manufacturing
1000345,Acetronic
1000345,Philips Semiconductors
1000346,Mattel Electronics
1000347,Bally Manufacturing
1000347,Dave Nutting Associates
1000348,"Topologika Software, Inc."
1000348,Acornsoft Limited
1000349,Creative Computing Software
1000349,Scott Adams
1000351,Mattel Electronics
1000352,Nintendo
1000353,Muse Software
1000354,"Atari, Inc."
1000355,Atari
1000355,"Atari, Inc."
1000356,"Automated Simulations, Inc."
1000357,Atari
1000358,Philips Export B.V.
1000358,Magnavox
1000359,Dave Nutting Associates
1000359,Bally Manufacturing
1000360,Quelle
1000360,Atari
1000363,Atari Inc.
1000364,Atari
1000366,Bandai America
1000367,Quelle
1000367,Atari
1000369,Atari
1000369,"Atari, Inc."
1000370,Bally Manufacturing
1000370,Dave Nutting Associates
1000371,Atari
1000371,Polyvox
1000372,Magnavox
1000373,Bally Manufacturing
1000373,Dave Nutting Associates
1000374,M.E.M.
1000375,Atari
1000375,"Atari, Inc."
1000376,General Instrument Microelectronic
1000377,Mattel Electronics
1000378,Bally Manufacturing
1000378,Dave Nutting Associates
1000379,The Elektrik Keyboard Ltd.
1000380,Exidy
1000381,Magnavox
1000382,Creative Computing Software
1000382,Scott Adams
1000383,Mattel Electronics
1000384,Bandai
1000385,Leijac
1000385,Konami
1000386,North American Philips Consumer Electronics Corp.
1000387,Philips
1000389,"Mindware Co.,Ltd."
1000390,"Sega Enterprises, Ltd."
1000390,Sega
1000391,Nintendo
1000391,Nintendo R&D2
1000392,Magnavox
1000393,Magnavox
1000394,Cinematronics
1000394,GCE
1000395,Vectorbeam
1000396,Sega
1000396,Gremlin Industries
1000397,Sega/Gremlin
1000397,Sega
1000398,Taito
1000399,Atari
1000400,Atari
1000400,Sears
1000401,Atari
1000402,Exidy
1000402,Technical Magic
1000403,"Synergistic Software, Inc."
1000404,Atari
1000406,Midway Manufacturing
1000406,Arcade Engineering
1000408,SNK
1000409,Nintendo
1000409,Nintendo R&D2
1000410,Midway Manufacturing
1000411,Taito
1000412,Quantum Toast
1000412,Richard Garriott
1000413,Nintendo
1000413,Namco
1000414,Taito
1000414,Midway Manufacturing
1000415,Taito
1000416,"Automated Simulations, Inc."
1000416,Epyx
1000417,Leijac
1000417,Konami
1000418,"Automated Simulations, Inc."
1000418,Epyx
1000419,Cinematronics
1000420,Atari Corporation
1000420,Atari
1000421,Taito
1000422,"Universal Co., Ltd."
1000422,Imagineer
1000423,Namco
1000423,Polyvox
1000424,Infocom
1000425,Cinematronics
1000425,Vectorbeam
1000426,Ikegami Tsushinki
1000426,Nintendo
1000427,Konami
1000428,Data East Corporation
1000428,Data East
1000429,Taito
1000430,Namco
1000431,Vectorbeam
1000431,Cinematronics
1000432,"Sega Enterprises, Ltd."
1000432,Sega
1000433,Taito
1000434,"Sega Enterprises, Ltd."
1000434,Sega
1000435,"Atari, Inc."
1000435,Accolade
1000436,Atari
1000437,Polyvox
1000437,Atari
1000438,Taito
1000439,SNK
1000440,APh Technological Consulting
1000440,Mattel Electronics
1000441,Game Plan
1000441,Konami
1000442,Exidy
1000443,"Commodore Business Machines, Inc."
1000443,Adventure International
1000444,Grandstand
1000445,Atari
1000445,"Atari, Inc."
1000446,Mattel Electronics
1000446,APh Technological Consulting
1000447,Magnavox
1000448,Apple Computer
1000449,"Sega Enterprises, Inc."
1000449,Technical Magic
1000450,Atari
1000450,"Atari, Inc."
1000451,"Universal Co., Ltd."
1000452,Exidy
1000453,Nintendo R&D1
1000453,Nintendo
1000454,Atari
1000455,Atari
1000457,Mattel Electronics
1000458,Nichibutsu
1000458,Nihon Bussan
1000459,Dave Nutting Associates
1000459,Bally Manufacturing
1000460,Irem Corporation
1000461,Interton
1000462,Atari
1000462,"Atari, Inc."
1000463,Gremlin Industries
1000463,Sega
1000464,"Cinematronics, LLC"
1000465,Magnavox
1000466,Philips
1000466,Magnavox
1000467,Acetronic
1000467,Philips Semiconductors
1000468,Teknon Kogyo
1000469,Bruce Maggs
1000470,"Automated Simulations, Inc."
1000471,Philips Semiconductors
1000471,Interton
1000472,"Cinematronics, LLC"
1000473,"Automated Simulations, Inc."
1000474,Sega
1000474,Gremlin Industries
1000476,"Atari, Inc."
1000476,Atari
1000477,Taito
1000478,Polyvox
1000478,Atari
1000479,Acetronic
1000479,Philips Semiconductors
1000480,Interton
1000480,Philips Semiconductors
1000481,Acetronic
1000481,Philips Semiconductors
1000482,Acetronic
1000482,Philips Semiconductors
1000483,Acetronic
1000483,Philips Semiconductors
1000484,subLOGIC
1000485,Gremlin Industries
1000485,Sega
1000486,Pleiades Game Company
1000487,Acetronic
1000487,Philips Semiconductors
1000488,Digiplay
1000488,APh Technological Consulting
1000489,Texas Instruments Incorporated
1000489,Adventure International
1000490,Philips Semiconductors
1000490,Interton
1000491,Grandstand
1000492,Artsci/Softape
1000493,Grandstand
1000494,Atari
1000494,"Atari, Inc."
1000495,Irem Corporation
1000496,Apple Computer
1000497,"Sega Enterprises, Inc."
1000497,Technical Magic
1000498,Nintendo R&D1
1000498,Nintendo
1000499,Atari
1000500,Atari
1000502,Mattel Electronics
1000503,Nichibutsu
1000503,Nihon Bussan
1000504,Exidy
1000505,Mattel Electronics
1000505,APh Technological Consulting
1000506,Philips Semiconductors
1000506,Interton
1000507,Grandstand
1000508,"Universal Co., Ltd."
1000509,"StarCraft, Inc."
1000509,Adventure International
1000510,Adventure International
1000511,"Automated Simulations, Inc."
1000512,"Commodore Business Machines, Inc."
1000512,Adventure International
1000514,Magnavox
1000515,Exidy
1000516,Artsci/Softape
1000517,Nintendo
1000518,Philips Semiconductors
1000518,Interton
1000519,"Automated Simulations, Inc."
1000520,Exidy
1000522,"Atari, Inc."
1000522,Atari
1000523,Taito
1000524,Promedic
1000525,Brøderbund Software
1000527,Digiplay
1000527,APh Technological Consulting
1000528,Texas Instruments Incorporated
1000528,Adventure International
1000529,Philips
1000530,Kiya Overseas Industry
1000530,"Microcomputer Games, Inc."
1000531,"Universal Co., Ltd."
1000532,N.V. Philips Gloeilampenfabrieken
1000533,Taito
1000533,Taito Corporation
1000534,"Universal Co., Ltd."
1000535,Irem Corporation
1000536,Activision
1000538,Nichibutsu
1000538,Incentive Software
1000540,Taito
1000540,Taito Corporation
1000541,Taito
1000541,Taito Corporation
1000542,Zircon International
1000543,"Sega Enterprises, Ltd."
1000543,Sega
1000544,Midway Manufacturing
1000545,Atari Corporation
1000545,Atari
1000546,Zircon International
1000547,Taito
1000547,Polyvox
1000549,Donald Brown
1000550,Atari
1000551,Nintendo
1000552,Device Oriented Games
1000552,Tandy
1000553,Leijac
1000553,Konami
1000554,"StarCraft, Inc."
1000554,Sierra On-Line
1000555,Atari
1000555,Namco
1000556,"Venture Line, Inc."
1000556,Sigma Enterprises
1000557,GCE
1000557,Cinematronics
1000558,Gottlieb
1000558,Sigma Enterprises
1000559,Dave Nutting Associates
1000559,Midway Manufacturing
1000560,Midway Manufacturing
1000561,"Sega Enterprises, Ltd."
1000561,Sega
1000562,Adventure International
1000563,"Universal Co., Ltd."
1000564,Coleco
1000564,Sega/Gremlin
1000565,Sega/Gremlin
1000566,Atari
1000567,"Universal Co., Ltd."
1000568,Nintendo
1000569,"Sega Enterprises, Ltd."
1000570,"Atari, Inc."
1000570,Atari
1000571,Nintendo
1000572,Nintendo
1000573,"Micro Lab, Inc."
1000574,Digiplay
1000574,Mattel Electronics
1000575,Mattel Electronics
1000576,Digiplay
1000576,Mattel Electronics
1000578,Nintendo
1000578,Nintendo R&D1
1000580,Mattel Electronics
1000580,APh Technological Consulting
1000581,Digiplay
1000581,Mattel Electronics
1000582,Nintendo
1000583,APh Technological Consulting
1000583,Digiplay
1000584,Sears
1000584,APh Technological Consulting
1000585,Commodore
1000585,Namco Limited
1000586,Atari
1000586,Atari Corporation
1000587,Atari
1000588,Cinematronics
1000588,GCE
1000589,Nintendo
1000589,Nintendo R&D2
1000590,Mattel
1000590,APh Technological Consulting
1000591,Mattel Electronics
1000591,APh Technological Consulting
1000592,Atari
1000592,Stern Electronics
1000593,Amstar Electronics
1000593,Tehkan
1000594,Sega/Gremlin
1000594,Gremlin Industries
1000595,Sun Electronics
1000596,SNK
1000597,Magnavox
1000598,Atari
1000598,"Atari, Inc."
1000599,Atari
1000599,"Atari, Inc."
1000600,Chameleon Software
1000600,Adventure International
1000601,Texas Instruments Incorporated
1000602,Sirius Software
1000603,"SSI (Strategic Simulations, Inc.)"
1000604,"SSI (Strategic Simulations, Inc.)"
1000605,"4D Interactive Systems, Inc."
1000605,The Avalon Hill Game Company
1000606,"Synergistic Software, Inc."
1000607,Data East Corporation
1000608,Highlands Computer Services
1000609,Tigervision
1000609,Taito
1000610,Computersmiths
1000611,"Atari, Inc."
1000611,Sears
1000612,Atari
1000613,Magnavox
1000615,Data East Corporation
1000617,MECC
1000618,Taito
1000618,Taito Corporation
1000619,Game Plan
1000619,Centuri
1000620,Radofin Electronics
1000621,Tandy Corporation
1000622,Midway Manufacturing
1000622,Game-A-Tron
1000623,Atari
1000623,"Atari, Inc."
1000624,Chameleon Software
1000624,Adventure International
1000625,Sierra On-Line
1000626,Magnavox
1000629,Texas Instruments Incorporated
1000630,Sirius Software
1000631,"SSI (Strategic Simulations, Inc.)"
1000632,Sir-tech Software
1000633,Polyvox
1000633,Atari
1000634,Med Systems Software
1000635,SNK
1000636,Exidy
1000637,Highlands Computer Services
1000638,Tigervision
1000638,Taito
1000639,Activision
1000640,IBM
1000640,On-Line Systems
1000641,Atari
1000642,"Synergistic Software, Inc."
1000643,Kiya Overseas Industry
1000643,"Microcomputer Games, Inc."
1000644,"Automated Simulations, Inc."
1000645,Atari
